376,665,0.0086
376,1433,0.0143
772,1433,0.0229
772,3218,0.0314
772,7015,0.0486
1568,3218,0.0457
1568,7015,0.0629
1568,14263,0.0971
3164,7015,0.0943
3164,14263,0.1300
3164,29414,0.2029
3164,59794,0.4558
4760,44815,0.5157
4760,90596,0.6836
6356,14263,0.1871
6356,29414,0.2600
6356,59794,0.6876
6356,121398,0.9115
9548,44815,0.6329
9548,90596,1.0314
9548,185624,1.3673
11144,342173,2.0471
12740,59794,0.8429
12740,121398,1.3753
12740,249849,1.8230
19124,90596,1.2657
19124,185624,2.0629
19124,378299,2.7344
19124,956327,6.8113
22316,691398,4.0943
25508,121398,1.6857
25508,249849,2.7505
25508,506750,3.6459
35084,169567,2.8900
38276,185624,3.2311
38276,378299,4.1258
38276,763651,5.4689
38276,1919706,13.6226
41468,1464108,9.4486
51044,249849,4.3082
51044,506750,5.5011
51044,1020552,7.2918
